214848, Maanteeamet, 2020-02-12, "MINDTITAN OÜ", 54700, "Liiklusõnnetuste prognoosimudeli loomise eelanalüüs, sh prototüübi loomine ja loodava mudeli prognoosimisvõime hindamine"
218014, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-02-12, "MINDTITAN OÜ", 64000, "Tarkvaralise lahenduse: Häirekeskuse ohuhinnangute andmise abimees, arendustööd"
216633, Põllumajanduse Registrite ja Informatsiooni Amet, 2020-02-13, "HEISI IT OÜ", 500000, "Tarkvara programmeerimisteenuste tellimine"
218037, Aktsiaselts Eesti Post, 2020-02-14, "", , "Andmeside teenus"
215980, Eesti Energia Aktsiaselts, 2020-02-13, "", , "Digitaalse assistendi Proof-of-Concept’i (PoC) pilootprojekti tellimine"
218609, Elektrilevi OÜ, 2020-02-18, "", , "MA side automaatplaneerimine 2020"
218390, Saaremaa Vallavalitsus, 2020-02-19, "Krabu Grupp OÜ", 36715, "Avalike sündmuste infoteenuse parendamine Saaremaa vallas"
216751, Kaitseliit, 2020-02-14, "AS Finestmedia", 583550, "Kaitseliidu vabatahtlike infoportaali hankimine"
214097, Veeteede Amet, 2020-02-19, "AgileWorks AS", 407667, "Meremeeste infosüsteemi loomine"
217901, Välisministeerium, 2020-02-20, "Microsoft Estonia OÜ", 108076, "Microsoft Premier tootetoe teenuse ostmine"
215353, aktsiaselts Eesti Raudtee, 2020-02-14, "HxGN Safety &amp; Infrastructure GmbH", 283500, "Geoinfosüsteem (GIS)"
217718, Välisministeerium, 2020-02-20, "UPTIME OÜ", 138000, "SharePoint süsteemide tugi- ja arendusteenus"
215316, Ettevõtluse Arendamise Sihtasutus, 2020-02-21, "osaühing Resta", 200000, "EAS andmeaida infosüsteemi loomine, arendus- ja hooldustööd"
217434, Hariduse Infotehnoloogia Sihtasutus, 2020-02-21, "Gitlab OÜ", 300000.0, "Haridustasemeteülese autentimislahenduse HarID 2.0 arendus- ja hooldustööd"
219167, Tallinna Linnakantselei, 2020-02-27, "Aktsiaselts SPIN TEK", 397200.0, "Avalike teenuste andmekogu arendus-, hooldus- ja majutusteenus"
216926, Tallinna Transpordiamet, 2020-01-17, "Ridango AS", 90000.0, "Tallinn-Helsingi-Tartu pangakaartidega tasutud sõitude ajaloo kuvamine ühtses keskkonnas"
218129, Eesti Pank, 2020-03-02, "AS Ecomatic", 216700.0, "Hooneautomaatika tehnosüsteemide TAC Xenta kontrolleritel põhineva automaatjuhtimissüsteemi arendus- ja hooldustööd"
218581, Tallinna Transpordiamet, 2020-03-02, "RTT Aktsiaselts", 7625.0, "Ühissõidukite sõitjate loendussüsteemi andmete administreerimine"
218598, Tallinna Transpordiamet, 2020-03-02, "RTT Aktsiaselts", 115.0, "Ühissõidukite sõitjate loendussüsteemi riist- ja tarkvara hooldus"
216425, sihtasutus Põhja-Eesti Regionaalhaigla, 2020-03-05, "aktsiaselts MEDISOFT", 40500.0, "Üleriigilise vereteenistuse infosüsteemi eel- ja ärianalüüs"
218245, Kose Vallavalitsus, 2020-02-26, "Aktsiaselts Fujitsu Estonia", 19200.10, "Kose Gümnaasiumi arvutisüsteemi hooldus ja haldamine"
219798, Tallinna Linnakantselei, 2020-03-09, "Tieto Estonia Aktsiaselts", 111800.00, "Infosüsteemi AKTAL arendus, hooldus ja majutus"
